PropertyID,Bedrooms,Bathrooms,Sqft_Living,Sqft_Lot,Floors,Floor_Group,Year_Built,Sqft_Above,Sqft_Basement
178,3,1,1220,4800,1,1 Floor,1901,1220,0
179,3,1.5,1950,7560,1,1 Floor,1975,1320,630
180,2,1,1350,8220,1,1 Floor,1949,1060,290
181,3,2.5,1670,5797,2,2 Floors,1988,1670,0
182,4,3,2380,5125,1.5,1.5 Floors,1925,1680,700
183,4,3,2440,9600,2,2 Floors,1961,2440,0
184,2,1.5,1050,3419,2,2 Floors,1996,1050,0
185,4,2.75,3130,13412,2,2 Floors,1993,2140,990
186,5,3,4090,12850,1,1 Floor,1986,2090,2000
187,4,1.75,1490,10000,1,1 Floor,1969,1100,390
188,3,2.5,1900,8744,2,2 Floors,1987,1900,0
189,4,1,1330,2400,1.5,1.5 Floors,1901,1330,0
190,3,2.25,2230,10026,1,1 Floor,1975,1430,800
191,3,1.75,1650,9480,1,1 Floor,1977,1220,430
192,3,1,1190,8820,1,1 Floor,1959,1190,0
193,3,2.5,2140,9897,1,1 Floor,1959,2140,0
194,3,2.5,2180,7508,1,1 Floor,1962,1420,760
195,3,1,1060,10228,1,1 Floor,1948,1060,0
196,3,2.5,1690,5025,2,2 Floors,2003,1690,0
197,4,2,1970,6480,1.5,1.5 Floors,1920,1130,840
198,3,2.5,2150,4084,2,2 Floors,2007,2150,0
199,3,2.5,1910,66211,2,2 Floors,1997,1910,0
200,3,1.75,1350,155073,1,1 Floor,1969,1350,0
201,3,1,860,11725,1,1 Floor,1943,860,0
202,3,2.5,1940,14952,2,2 Floors,1994,1940,0
203,3,1,1010,5000,1,1 Floor,1952,1010,0
204,3,1.5,1300,7370,1,1 Floor,1976,900,400
205,3,1,910,8450,1,1 Floor,1962,910,0
206,4,1.75,2480,11010,1,1 Floor,1966,1630,850
207,3,2.5,2440,4587,2,2 Floors,2010,2440,0
208,3,1,1010,5864,1,1 Floor,1915,1010,0
209,2,0.75,900,9600,1,1 Floor,1941,900,0
210,6,3,2300,3404,2,2 Floors,1920,1600,700
211,4,2.25,1550,7579,2,2 Floors,1993,1550,0
212,3,2.25,1270,1566,2,2 Floors,2014,1060,210
213,4,2.5,2240,12032,1,1 Floor,1983,2240,0
214,3,2.5,2714,17936,2,2 Floors,2005,2714,0
215,4,2.75,1720,6270,2,2 Floors,1978,1720,0
216,2,1,850,16400,1,1 Floor,1923,850,0
217,5,3,3300,33474,1,1 Floor,1957,1870,1430
218,3,2.5,2250,5692,2,2 Floors,2000,2250,0
219,2,2.25,3900,14864,1,1 Floor,1947,1950,1950
220,2,1.5,1320,10800,1,1 Floor,1947,1320,0
221,4,2.5,2760,6440,2,2 Floors,1999,2760,0
222,3,2,1750,9750,1,1 Floor,1961,1350,400
223,4,2.25,2330,19436,2,2 Floors,1987,2330,0
224,3,2.25,2220,16020,1,1 Floor,1966,1780,440
225,3,2.25,2020,8379,2,2 Floors,1994,2020,0
226,3,2.25,1250,7500,1,1 Floor,1942,1250,0
227,2,2,1510,6516,1,1 Floor,2005,1510,0
228,4,2.25,1720,9753,1,1 Floor,1978,1120,600
229,3,1,1430,15246,1,1 Floor,1961,980,450
230,3,2.5,1480,4729,2,2 Floors,2004,1480,0
231,2,1.75,1450,15798,2,2 Floors,1915,1230,220
232,4,2.75,2280,15347,1,1 Floor,1960,2280,0
233,6,2.75,2940,7350,1,1 Floor,1978,1780,1160
234,2,1,1000,10200,1,1 Floor,1961,1000,0
235,3,1.5,2480,5280,1.5,1.5 Floors,1947,1620,860
236,5,4,3760,28040,2,2 Floors,1983,3760,0
237,3,2,2220,94300,1,1 Floor,1976,1640,580
238,4,1,1970,4740,1.5,1.5 Floors,1904,1670,300
239,3,3.5,3830,221284,2,2 Floors,1993,3530,300
240,6,2.5,4410,14034,1,1 Floor,1965,2350,2060
241,3,1.75,1430,8505,1,1 Floor,1968,1430,0
242,2,1,830,6000,1,1 Floor,1940,830,0
243,2,1,1430,5000,1.5,1.5 Floors,1925,1430,0
244,3,1,1300,8316,1,1 Floor,1954,1300,0
245,2,1,1030,3060,1,1 Floor,1918,790,240
246,3,2.5,2740,11872,2,2 Floors,1990,2740,0
247,4,2.5,3650,8354,1,1 Floor,2000,1830,1820
248,2,1.5,720,5120,1,1 Floor,1954,720,0
249,4,2,2010,7312,1,1 Floor,1976,2010,0
250,3,1.75,1560,3000,1,1 Floor,1918,770,790
251,3,2,1810,7209,1,1 Floor,1978,1240,570
252,4,2.5,3360,7685,2,2 Floors,2001,3360,0
253,3,2.25,1510,36224,2,2 Floors,1991,1510,0
254,3,1,1400,3538,1,1 Floor,1953,800,600
255,3,2.5,1730,7442,2,2 Floors,1987,1730,0
256,2,2,1420,9191,1.5,1.5 Floors,1928,1420,0
257,4,1.75,2360,7620,1,1 Floor,1955,1180,1180
258,3,1.75,1580,11455,1,1 Floor,1974,1200,380
259,3,1,1230,10170,1,1 Floor,1979,1230,0
260,4,2.5,2460,4425,2,2 Floors,2006,2460,0
261,3,1,1660,4400,1.5,1.5 Floors,1911,1460,200
262,3,1.75,1270,8470,1,1 Floor,1960,1270,0
263,3,2.25,2100,40510,2,2 Floors,1979,1320,780
264,2,1,770,5040,1,1 Floor,1930,770,0
265,1,0.75,760,10079,1,1 Floor,1936,760,0
266,4,2.5,1700,7280,2,2 Floors,1988,1700,0
267,3,1,1120,10701,1,1 Floor,1954,1120,0
268,2,1,1070,4500,1,1 Floor,1937,1070,0
269,3,2.5,2070,9900,1,1 Floor,1979,1420,650
270,4,3.25,5050,20100,1.5,1.5 Floors,1982,4750,300
271,4,4.75,5310,57346,2,2 Floors,1989,5310,0
272,2,1,1040,7538,1,1 Floor,1939,1040,0
273,3,1,1700,11390,1,1 Floor,1967,1700,0
274,3,1,1300,5898,1,1 Floor,1961,1300,0
275,3,1.75,1080,1306,1,1 Floor,1954,580,500
276,3,2.5,2653,4510,2,2 Floors,2006,2653,0
277,3,2,2290,16258,1,1 Floor,1960,2290,0
278,4,2.75,3820,26300,2,2 Floors,2014,2850,970
279,4,2.5,2210,49375,1,1 Floor,1997,2210,0
280,3,1.75,2390,6000,1,1 Floor,1908,1240,1150
281,4,1.75,2600,11325,1,1 Floor,1969,1610,990
282,2,1,860,5265,1,1 Floor,1931,860,0
283,5,3,3830,8480,2,2 Floors,1905,2630,1200
284,4,2.5,3500,7048,2,2 Floors,2005,3500,0
285,3,3,2420,13959,1,1 Floor,1988,1740,680
286,4,2.5,2720,8666,2,2 Floors,1992,2720,0
287,5,2.25,2500,13500,1,1 Floor,1979,1850,650
288,3,1.75,1670,6720,1,1 Floor,1980,1140,530
289,5,2.25,2900,10300,1,1 Floor,1985,1450,1450
290,2,1,1640,14100,1,1 Floor,1954,1140,500
291,4,2.5,1890,15770,2,2 Floors,1968,1890,0
292,4,1.75,2950,9025,1,1 Floor,1975,1780,1170
293,4,2.5,2160,9528,2,2 Floors,1992,2160,0
294,4,3,3280,11060,2,2 Floors,1986,2270,1010
295,3,2,1970,4166,2,2 Floors,1929,1270,700
296,4,2.5,3360,22111,2,2 Floors,1994,3360,0
297,3,2,1320,8959,1,1 Floor,1993,1320,0
298,3,2.5,2650,7286,2,2 Floors,1990,2650,0
299,3,1.5,2030,8880,1,1 Floor,1963,1330,700
300,3,1.75,1590,11914,1,1 Floor,1957,1090,500
301,4,5,4550,18641,1,1 Floor,2002,2600,1950
302,3,2.5,2440,7632,2,2 Floors,1998,2440,0
303,3,2.5,1940,9000,1,1 Floor,1948,970,970
304,3,2.5,2040,3810,2,2 Floors,2006,2040,0
305,3,2.25,2200,8750,1,1 Floor,1964,1120,1080
306,3,1.75,1920,3300,1,1 Floor,1913,960,960
307,4,2.75,1800,7750,1,1 Floor,1965,1400,400
308,4,2.25,2180,7297,2,2 Floors,1984,2180,0
309,2,1,1010,5000,1.5,1.5 Floors,1908,1010,0
310,4,2.75,3320,10574,2,2 Floors,1960,2220,1100
311,4,2.5,2370,4000,1.5,1.5 Floors,1928,1980,390
312,5,1.75,1660,78408,1.5,1.5 Floors,1915,1660,0
313,5,2.5,3650,9050,2,2 Floors,1921,3370,280
314,4,3.25,4290,12103,1,1 Floor,1997,2690,1600
315,4,3.25,4290,12103,1,1 Floor,1997,2690,1600
316,4,2.25,1950,7700,1,1 Floor,1979,1350,600
317,3,2,2590,14052,1,1 Floor,1948,1720,870
318,3,2.5,1930,64904,1,1 Floor,1988,1930,0
319,2,1,1470,3864,1,1 Floor,1916,1170,300
320,4,1,800,8775,1,1 Floor,1943,800,0
321,5,2.75,3150,7119,2,2 Floors,2013,3150,0
322,3,2.25,2030,16200,2,2 Floors,1984,2030,0
323,3,2,1450,11204,1,1 Floor,2003,1450,0
324,3,1.75,1510,10248,1,1 Floor,1969,1510,0
325,2,1,1240,12092,1,1 Floor,1922,960,280
326,2,1,1240,12092,1,1 Floor,1922,960,280
327,3,2.5,3030,45004,2,2 Floors,1987,3030,0
328,4,2,2050,4400,1.5,1.5 Floors,1922,2050,0
329,3,1,1000,7636,1,1 Floor,1952,1000,0
330,3,2.25,2370,10289,1,1 Floor,1977,1590,780
331,4,3.5,2800,6750,2,2 Floors,1951,1890,910
332,6,1.75,2240,11180,2,2 Floors,1955,2240,0
333,3,2,1810,10530,1,1 Floor,1991,1810,0
334,2,1,1070,5000,1,1 Floor,1924,1070,0
335,4,2,2490,9525,2,2 Floors,1968,2490,0
336,4,2.5,1960,5238,2,2 Floors,2003,1960,0
337,3,2.75,2930,5569,1,1 Floor,2004,1860,1070
338,4,2,1510,3500,1.5,1.5 Floors,1911,1510,0
339,3,1.75,1420,8250,1,1 Floor,1954,1420,0
340,3,1.75,1740,11547,1,1 Floor,1954,1740,0
341,4,1.75,2560,43995,2,2 Floors,1962,2560,0
342,4,3.5,3040,8414,2,2 Floors,2010,2420,620
343,3,1.75,2500,6840,1,1 Floor,1957,1300,1200
344,4,1.75,1275,20000,1,1 Floor,1991,1275,0
345,4,2.5,2580,5823,2,2 Floors,2002,2580,0
346,4,1,1000,7134,1,1 Floor,1943,1000,0
347,4,1,1000,7134,1,1 Floor,1943,1000,0
348,2,1,1070,32633,1,1 Floor,1930,1070,0
349,3,2,1390,13464,1,1 Floor,1987,1390,0
350,4,1.75,2500,7690,1,1 Floor,1973,1250,1250
351,1,0.75,560,12120,1,1 Floor,1967,560,0
352,4,2.75,2270,10460,2,2 Floors,1965,2270,0
353,3,1,1900,14400,1,1 Floor,1954,1300,600
354,2,1,990,3120,1,1 Floor,1907,790,200
355,4,1.5,1550,19800,1,1 Floor,1969,1050,500
356,4,1.75,2200,7475,1,1 Floor,1955,1100,1100
357,4,2.5,1910,4862,2,2 Floors,2005,1910,0
358,4,1,1750,9600,1.5,1.5 Floors,1954,1750,0
359,3,1,1330,77972,1,1 Floor,1928,1330,0
360,3,2.5,2440,5750,2,2 Floors,2000,1980,460
361,3,2.5,1640,29970,2,2 Floors,1992,1640,0
362,5,2.5,2760,11340,2,2 Floors,1978,2760,0
363,4,2.5,1820,7912,2,2 Floors,1994,1820,0
364,3,2.5,2110,5608,1,1 Floor,2013,1340,770
365,5,2.5,3040,9570,1,1 Floor,1966,1640,1400
366,3,2,1840,40438,2,2 Floors,1994,1840,0
367,4,2.5,2990,10400,2,2 Floors,2002,2990,0
368,4,2.5,3520,15420,2,2 Floors,1991,3520,0
369,4,2.75,2440,69415,1,1 Floor,1989,1910,530
370,4,3,2090,7500,1,1 Floor,1986,1370,720
371,3,2.25,1430,7222,2,2 Floors,1993,1430,0
372,4,2.25,2180,10754,1,1 Floor,1954,1100,1080
373,4,2.25,2180,10754,1,1 Floor,1954,1100,1080
374,5,3,3450,9914,2,2 Floors,2004,3450,0
375,3,2.25,1450,7562,2,2 Floors,1994,1450,0
376,4,2.5,3230,7331,2,2 Floors,2004,3230,0
377,3,1.75,1640,13500,1,1 Floor,1940,1110,530
378,3,3,1590,7750,1,1 Floor,1997,1060,530
379,4,2,2020,2849,2,2 Floors,1960,2020,0
380,3,1.5,1300,3348,1.5,1.5 Floors,1904,1300,0
381,2,1.5,1380,209959,1,1 Floor,1954,1380,0
382,3,3,4040,14338,2,2 Floors,1986,3030,1010
383,4,2.25,2130,5337,2,2 Floors,2001,2130,0
384,4,2.25,2550,7800,1,1 Floor,1968,1580,970
385,5,3.5,4800,14984,2,2 Floors,1998,3480,1320
386,4,2.25,2510,11585,2,2 Floors,1969,2510,0
387,3,2,1410,9600,1,1 Floor,1983,1410,0
388,3,2,1650,7352,1,1 Floor,1979,1160,490
389,4,2.5,2120,13780,2,2 Floors,1993,2120,0
390,4,1.5,2040,10726,1,1 Floor,1954,1380,660
391,4,1,1550,7620,1.5,1.5 Floors,1957,1550,0
392,3,2.75,1980,3128,2,2 Floors,1979,1980,0
393,3,2.5,1600,26977,2,2 Floors,2005,1600,0
394,4,2.75,3300,12090,2,2 Floors,1953,3300,0
395,4,2.5,3840,16619,2,2 Floors,1983,3840,0
396,2,1,1220,10000,1,1 Floor,1950,1220,0
397,5,2.25,2720,8800,1,1 Floor,1958,1500,1220
398,4,2,1940,25600,1,1 Floor,1962,1940,0
399,3,2.5,2160,3000,1.5,1.5 Floors,1909,1260,900
400,4,1.75,1530,8750,1.5,1.5 Floors,1968,1530,0
401,3,3.5,1710,2096,2,2 Floors,2008,1290,420
402,4,1.75,3730,16980,1,1 Floor,1974,2150,1580
403,2,1,940,5000,1,1 Floor,1937,940,0
404,3,2.5,1750,22357,2,2 Floors,1994,1750,0
405,4,2.5,1820,6753,2,2 Floors,1994,1820,0
406,3,3.25,1510,2000,2,2 Floors,2001,1330,180
407,3,2,1290,1213,3,2.5+ Floors,2001,1290,0
408,3,2,1570,5250,1,1 Floor,1998,1570,0
409,4,2.5,1930,6957,2,2 Floors,1995,1930,0
410,4,3.5,2840,40139,1,1 Floor,1986,2840,0
411,3,2.5,1550,8134,2,2 Floors,1991,1550,0
412,2,1,833,143947,1,1 Floor,2006,833,0
413,3,2.5,2990,32239,2,2 Floors,1978,2990,0
414,3,2.5,2000,7251,2,2 Floors,1995,2000,0
415,4,1.5,2390,7480,1.5,1.5 Floors,1920,2390,0
416,3,1.75,2910,37461,1,1 Floor,1967,1530,1380
417,4,1.75,2085,174240,1,1 Floor,1964,1610,475
418,4,2.25,2200,9351,1,1 Floor,1962,1290,910
419,3,2.25,1860,5028,2,2 Floors,2012,1860,0
420,5,4.25,6070,171626,2,2 Floors,1999,6070,0
421,2,1,950,3960,1,1 Floor,1941,950,0
422,3,1.75,1600,9135,1,1 Floor,1955,1600,0
423,3,2.5,2250,11632,2,2 Floors,1988,2250,0
424,3,2.5,2280,10255,2,2 Floors,1985,2280,0
425,2,1,940,5120,1,1 Floor,1909,940,0
426,3,2.5,1530,8500,1,1 Floor,1996,1030,500
427,5,1.75,2190,27260,1,1 Floor,1947,2190,0
428,3,2,2350,15021,1,1 Floor,1976,1770,580
429,4,2,1440,7680,1,1 Floor,1971,1200,240
430,3,2.5,2200,4052,2,2 Floors,2005,2200,0
431,4,3,2290,8250,2,2 Floors,1990,2290,0
432,4,3,4040,19700,2,2 Floors,1987,4040,0
433,4,2.5,2610,3277,1.5,1.5 Floors,1922,1920,690
434,3,2.5,1490,2138,2,2 Floors,2005,1490,0
435,4,2.5,2450,5280,2,2 Floors,2003,2450,0
436,4,2.5,1710,9627,1,1 Floor,1976,1440,270
437,5,2.5,4870,11800,2,2 Floors,1983,3470,1400
438,3,2.5,3130,8750,2,2 Floors,1991,3130,0
439,2,2,1270,1372,3,2.5+ Floors,2000,1270,0
440,3,1.75,2120,10875,1,1 Floor,1977,1540,580
441,3,1.5,1670,8230,1,1 Floor,1954,1670,0
442,3,2.25,2070,11576,2,2 Floors,1974,2070,0
443,2,1,1420,5332,1,1 Floor,1953,1070,350
444,3,1.5,1250,219978,1,1 Floor,1980,1250,0
445,3,1,940,7980,1,1 Floor,1960,940,0
446,3,1.75,1920,9102,1,1 Floor,1968,1920,0
447,3,2.5,3545,9816,1,1 Floor,2005,2610,935
448,3,2,1260,5460,1,1 Floor,1972,1260,0
449,5,2.5,2340,7200,1,1 Floor,1975,1300,1040
450,3,2.25,2590,9263,1,1 Floor,1977,1440,1150
451,3,4.5,3970,24920,2,2 Floors,1977,3260,710
452,3,1.75,1220,9732,1,1 Floor,1965,1220,0
453,3,1,1400,10403,1,1 Floor,1976,1400,0
454,3,2.75,2360,16117,1,1 Floor,1983,1710,650
455,3,1.75,1870,9897,1,1 Floor,1960,1870,0
456,3,2.5,2830,5802,2,2 Floors,2001,2830,0
457,3,2.5,2260,3640,2,2 Floors,1994,2260,0
458,3,3,1970,20978,2,2 Floors,1980,1770,200
459,4,2.5,3140,9225,1,1 Floor,1966,1770,1370
460,3,1.75,1240,8659,1,1 Floor,1986,1240,0
461,4,3.5,3450,7832,2,2 Floors,2007,3450,0
462,3,2.25,2570,8491,2,2 Floors,1989,2570,0
463,3,2,1510,3413,2,2 Floors,1985,1510,0
464,4,2.25,2390,11250,2,2 Floors,1988,2390,0
465,3,1,980,7000,1,1 Floor,1953,980,0
466,1,0.75,430,5050,1,1 Floor,1912,430,0
